现状农牧业资源情况,,,,,
县名称,乡镇,粮食作物,畜牧产品,虫草,经济作物
边坝县,草卡镇,,,,
,边坝镇,,,,
,加贡乡,,√,,
,金岭乡,√,,,
,尼木乡,√,,,
,沙丁乡,,,,
,马秀乡,,,,
,拉孜乡,√,√,,
,都瓦乡,,,,
,马武乡,,√,,
,热玉乡,,,,
丁青县,丁青镇,,,,
,尺牍镇,,,,
,木塔乡,,,√,
,嘎塔乡,,,√,
,甘岩乡,,,√,
,布塔乡,,,√,
,巴达乡,,,√,
,色扎乡,,,,
,当堆乡,,,,
,协雄乡,,,,
,沙贡乡,,,,
,觉恩乡,,,,
,桑多乡,,,,
洛隆县,孜托镇,√,,,
,马利镇,,,,
,中亦乡,,,,
,俄西乡,,,,
,新荣乡,,,,
,硕督镇,√,,,
,达龙乡,,,,
,康沙镇,√,,,
,腊久乡,√,,,
,玉西乡,√,,,
,白达乡,,,,
类乌齐县,桑多镇,,,,
,类乌齐镇,,√,,
,甲桑卡乡,,,,
,吉多乡,,√,,
,岗色乡,,√,,
,伊日乡,,,,
,尚卡乡,,,,
,长毛岭乡,,√,,
,卡玛多乡,,,,
,滨达乡,,,,
八宿县,白玛镇,,,,
,同卡镇,,,,√
,邦达镇,,,,
,然乌镇,,,,
,郭庆乡,,,,
,益清乡,,√,,
,拥巴乡,,,,
,夏里乡,,,,
,瓦乡,,,,
,吉中乡,,√,,
,卡瓦白庆乡,,,,√
,拉根乡,,,,√
,林卡乡,,,,
,吉达乡,,,,
昌都县,昌都镇,√,,,
,卡若镇,√,,,
,俄洛镇,√,,,
,面达乡,,,,
,嘎玛乡,,,,
,约巴乡,,,,
,芒达乡,,,,
,柴维乡,√,,,
,拉多乡,,,,
,沙贡乡,,,,
,日通乡,√,,,
,如意乡,√,,,
,妥坝乡,,,,
,埃西乡,,,,
,若巴乡,,,,
察雅县,烟多镇,,,,
,吉塘镇,,,,
,香堆镇,,,,
,新卡乡,,,,
,肯通乡,,,,
,扩达乡,,,,
,王卡乡,,,,
,卡贡乡,,,,
,荣周乡,,,,
,宗沙乡,,,,
,察拉乡,,,,
,巴日乡,,,,
,阿孜乡,,,,
左贡县,旺达镇,,,,
,田妥镇,√,,,
,扎玉镇,,,,
,美玉乡,,√,,
,仁果乡,,,,
,东坝乡,,,,√
,中林卡乡,,,,√
,下林卡乡,,,,
,绕金乡,,,,√
,碧土乡,,,,
江达县,江达镇,,,,
,玉龙镇,,,,
,岗托镇,√,,,
,邓柯乡,√,,,
,生达乡,,√,,
,德登乡,,√,,
,汪布顶乡,,,,
,卡贡乡,,,,
,字嘎乡,,√,,
,同普乡,,,,
,青泥洞乡,,,,
,岩比乡,,,,
,波罗乡,,,,√
,娘西乡,,,,
贡觉县,莫洛镇,,,,
,相皮乡,,,,
,则巴乡,,,,
,哈加乡,,√,,
,克日乡,,,,
,罗麦乡,,,,
,沙东乡,,,,√
,敏都乡,,,,√
,雄松乡,,,,√
,木协乡,,,,
,阿旺乡,,√,,
,拉妥乡,,√,,
芒康县,嘎托镇,,,,
,如美镇,,,,
,戈波乡,,,,
,昂多乡,,,,
,措瓦乡,,,,
,宗西乡,,,,
,洛尼乡,,,,
,朱巴龙乡,,,,
,曲登乡,,,,
,帮达乡,,,,
,莽岭乡,,,,
,索多西乡,,,,
,徐中乡,,,,
,曲孜卡乡,,,,√
,纳西民族乡,,,,√
,木许乡,,,,√
